"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "SVG", "comment", "blank", "total"
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Images\ImageBlock\IImageBlockProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Images\ImageBlock\ImageBlock.module.css", "CSS", 0, 0, 29, 0, 0, 4, 33
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Images\ImageBlock\ImageBlock.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 5, 26
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Images\Images.module.css", "CSS", 0, 0, 5, 0, 0, 1, 6
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Images\Images.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 6, 27
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductFeatures\IProductFeaturesProps.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductFeatures\ProductFeatures.module.css", "CSS", 0, 0, 16, 0, 0, 3, 19
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductFeatures\ProductFeatures.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 6, 31
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductTags\ITagsBlockprops.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductTags\TagsBlock.module.css", "CSS", 0, 0, 39, 0, 0, 5, 44
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductTags\TagsBlock.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 11, 59
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductValue\IProductValueProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductValue\ProductValue.module.css", "CSS", 0, 0, 11, 0, 0, 2, 13
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductValue\ProductValue.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 6, 26
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductValue\Value\Value.module.css", "CSS", 0, 0, 10, 0, 0, 2, 12
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\ProductValue\Value\Value.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 5, 27
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Tag\ITagProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Tag\Tag.module.css", "CSS", 0, 0, 24, 0, 0, 3, 27
"c:\Users\User\Desktop\navigation-categories-page\src\components\Products\Tag\Tag.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 6, 23
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Anchor\Anchor.module.css", "CSS", 0, 0, 7, 0, 0, 1, 8
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Anchor\Anchor.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 5, 20
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Anchor\IAnchorProps.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\BrightInput\BrightInput.module.css", "CSS", 0, 0, 12, 0, 0, 1, 13
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\BrightInput\BrightInput.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 5, 22
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\BrightInput\IBrightInputProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Button\Button.module.css", "CSS", 0, 0, 28, 0, 0, 4, 32
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Button\Button.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 5, 28
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Button\IButtonProps.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Card\Card.module.css", "CSS", 0, 0, 12, 0, 0, 1, 13
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Card\Card.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 5, 12
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Card\ICardProps.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Checkbox\Checkbox.module.css", "CSS", 0, 0, 32, 0, 0, 3, 35
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Checkbox\Checkbox.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 4, 22
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Checkbox\ICheckboxProps.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Dropdown\Dropdown.module.css", "CSS", 0, 0, 46, 0, 0, 5, 51
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Dropdown\Dropdown.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 8, 45
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Dropdown\IDropdownProps.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Dropdown\ItemDropdown\IItemDropdownProps.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Dropdown\ItemDropdown\ItemDropdown.module.css", "CSS", 0, 0, 17, 0, 0, 2, 19
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Dropdown\ItemDropdown\ItemDropdown.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 7, 30
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\HTag\HTag.module.css", "CSS", 0, 0, 18, 0, 0, 1, 19
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\HTag\HTag.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 5, 13
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\HTag\IHTagProps.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Input\IInputProps.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Input\Input copy.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 6, 23
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Input\Input.module.css", "CSS", 0, 0, 40, 0, 0, 6, 46
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Input\Input.tsx", "TypeScript JSX", 0, 51, 0, 0, 4, 12, 67
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Modal\IModalProps.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Modal\Modal.module.css", "CSS", 0, 0, 23, 0, 0, 3, 26
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Modal\Modal.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 7, 34
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Note\INoteProps.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Note\Note.module.css", "CSS", 0, 0, 5, 0, 0, 1, 6
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Note\Note.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 5, 12
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PTag\IPTagProps.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
